# cohort	faculty	department	program	course	category	source	pdf_page	course_code	credits
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	英語文学・文化演習A	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	26	P0412	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	英語文学・文化演習B	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	26	P0437	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	英語文学概論A	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	26	P0406	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	英語文学概論B	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	26	P0407	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	英語文学演習	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	26	P0441	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	英語文学特講I	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	26	P0408	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	英語科指導法演習I	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	27	P0434	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	英語科指導法演習II	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	27	P0444	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	英語科指導法演習III	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	27	P0445	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	英語科教育法I	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	27	P0427	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	英語科教育法II	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	27	P0428	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	英語科教育法III	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	27	P0429	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	英語科教育法IV	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	27	P0430	1
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	英語科教育法V	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	27	P0431	1
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	英語科教育法特講A	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	27	P0432	1
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	英語科教育法特講B	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	27	P0433	1
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	茨城の歴史と文化	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	49	P4045	2
